record_index,test_name,lower_limit,upper_limit,units,test_value,test_time,pass_fail_status,overall_test_result,exit_status,test_run_uuid,sn,start_time,end_time,work_order,test_station_name,test_station_id
1,opmode_force_dev_mode,PASS,PASS,,PASS,1.207540,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
2,Recovery_port_check,PASS,PASS,,PASS,1.076694,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
3,FW_Version,2023.15.103,2023.15.103,,2023.15.103,0.889485,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
4,NonCharging_SKU_Hw_Version1,Solar,Solar,,Solar,0.918195,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
5,NonCharging_SKU_Hw_Version2,Solar,Solar,,Solar,0.938523,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
6,NonCharging_SKU_Hw_Version3,Solar,Solar,,Solar,0.922173,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
7,BQ_charger_ON,PASS,PASS,,PASS,1.083550,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
8,TST_Battery2,PASS,PASS,,PASS,1.123132,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
9,TST_Battery2_V,2,4.2,V,3.590,0.000000,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
10,TST_Battery2_C,0,200000,uA,091966.0,0.000000,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
11,Status_1,1,1,,1,1.094226,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
12,BQ_charger_OFF,PASS,PASS,,PASS,1.089194,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
13,TST_Battery1,PASS,PASS,,PASS,1.135190,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
14,TST_Battery1_V,2,4.2,V,3.492,0.000000,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
15,TST_Battery1_C,-10000,200000,uA,000079.0,0.000000,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
16,Status_0,0,0,,0,1.090372,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
17,TST_Solar_L,PASS,PASS,,PASS,1.126545,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
18,TEST_Solar_L_Voltage,1,8,V,3.722,0.000000,PASS,FAIL,902063,0101376A-50D4-4931-8D43-DDBA0F457B6C,FK2327MFAT2AA0038,2023-07-05 15:02:07,2023-07-05 15:04:10,STA237YM5102,monolith_bollard_ft,10023020
